site_id,priority,clinic,province,district,backhaul_cluster,cluster_tier,rollout_phase,address,latitude,longitude,geocode_source,geocode_confidence,recommended_access_technology,notes,dfa_status,dfa_nearnet_distance_m,dfa_products_available,dfa_reference,checked_date
UNJ-203,3,Bushbuckridge,Mpumalanga,Ehlanzeni,Ehlanzeni Lowveld,1,3,"Stand 252, R40 Main Road, Bushbuckridge",-24.8362004,31.0727099,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-218,3,Carolina,Mpumalanga,Gert Sibande,Gert Sibande,3,4,"73 Voortrekker Street, Carolina",-26.066508,30.110143,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-219,3,Daggakraal,Mpumalanga,Gert Sibande,Gert Sibande,3,4,"432 Sinqobile A, Daggakraal",-27.129695,29.9570867,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-204,3,Delmas,Mpumalanga,Ehlanzeni,Nkangala,3,4,"Cnr R42 and Nelson Mandela Drive, Delmas",-26.1027483,28.6795827,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,Published district is incorrect - corrected,,,,,
UNJ-220,3,Elukwatini,Mpumalanga,Gert Sibande,Gert Sibande,3,4,"Stand 308, Elukwatini Crossing, Main Road, Elukwatini",-26.0380669,30.7889246,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-229,3,Emalahleni,Mpumalanga,Nkangala,Nkangala,3,4,"KG Mall, Cnr N4 Highway & Matthew Phosa Street, Emalahleni",-25.8706424,29.130249,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-225,3,Embalenhle,Mpumalanga,Govan Mbeki,Govan Mbeki,4,5,"Stand 17979 Ext 7, Ebenezer Ministries Church, Embalenhle",-26.5678851,29.079206,Google Places,AUTO-GEOCODED,LTE uncapped; LEO satellite fallback,,,,,,
UNJ-221,3,Ermelo,Mpumalanga,Gert Sibande,Gert Sibande,3,4,"327 Mabilisa Street, Wesselton, Ermelo",-26.5165688,29.9708962,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-205,3,Hluvukani,Mpumalanga,Ehlanzeni,Ehlanzeni Lowveld,1,3,"Thatha Taxi Rank, Stand 30003 Clara C, Cnr Welverdiend Road, Hluvukani",-24.6472384,31.3457923,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-206,3,Kabokweni,Mpumalanga,Ehlanzeni,Ehlanzeni Lowveld,1,3,"Stand 0318, Simunye Building, Main Road, Kabokweni",-25.3147971,31.1628868,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-207,3,Kanyamazane,Mpumalanga,Ehlanzeni,Ehlanzeni Lowveld,1,3,"Kanyamazane Centre, Chris Hani Street, Kanyamazane",-25.4664032,31.1804162,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-230,3,Kriel,Mpumalanga,Nkangala,Nkangala,3,4,"1L Lewellyn, next to Engen garage, Kriel",-26.2513339,29.258074,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-231,3,Kwamhlanga,Mpumalanga,Nkangala,Nkangala,3,4,"1836 Street 63, Phola Park, R573 Moloto Road, KwaMagagela",-25.4019967,28.7623081,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
